order,zoho_invoice_id,zoho_net,shopify_net,delta,zoho_total,shopify_total,status
49161,3806639000015047369,0,1298,1298,1258.95,1298,large_mismatch
49160,3806639000015075310,0,25.32,25.32,26.59,25.32,small_mismatch
49159,3806639000015075299,0,2098,2098,2098.95,2098,large_mismatch
49158,3806639000015074327,0,2898,2898,2938.95,2898,large_mismatch
49157,3806639000015042377,0,1214.07,1214.07,1170.82,1214.07,large_mismatch
49156,3806639000015075290,0,1398,1398,1363.95,1398,large_mismatch
49155,3806639000015078272,0,1398,1398,1363.95,1398,large_mismatch
49154,3806639000015042368,0,1298,1298,1258.95,1298,large_mismatch
49153,3806639000015072257,0,1804.1,1804.1,1894.31,1804.1,large_mismatch
49152,3806639000015050269,0,1333.05,1333.05,1295.75,1333.05,large_mismatch
49151,3806639000015054205,0,1298,1298,1258.95,1298,large_mismatch
49150,3806639000015053128,0,2758.05,2758.05,2792,2758.05,large_mismatch
49149,3806639000015083286,0,1398,1398,1363.96,1398,large_mismatch
49148,3806639000015051277,0,1298,1298,1258.95,1298,large_mismatch
49147,3806639000015042360,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49146,3806639000015070146,0,1298,1298,1258.95,1298,large_mismatch
49144,3806639000015052255,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49143,3806639000015102284,0,2659.05,2659.05,2792,2659.05,large_mismatch
49142,3806639000015073261,0,1298,1298,1258.95,1298,large_mismatch
49141,3806639000015051268,0,2697,2697,2727.9,2697,large_mismatch
49140,3806639000015045337,0,2898,2898,2938.95,2898,large_mismatch
49139,3806639000015047272,0,1298,1298,1258.95,1298,large_mismatch
49138,3806639000015074283,0,1139.05,1139.05,1196,1139.05,large_mismatch
49137,3806639000015101087,0,1398,1398,1363.95,1398,large_mismatch
49136,3806639000015065304,0,1298,1298,1258.95,1298,large_mismatch
49135,3806639000015042324,0,94.95,94.95,99.69,94.95,small_mismatch
49134,3806639000015074274,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49133,3806639000015054158,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49132,3806639000015045319,0,1398,1398,1363.95,1398,large_mismatch
49131,3806639000015071227,0,1298,1298,1258.95,1298,large_mismatch
49130,3806639000015046282,0,1178.1,1178.1,1133.06,1178.1,large_mismatch
49129,3806639000015043243,0,1298,1298,1258.95,1298,large_mismatch
49128,3806639000015045288,0,1298,1298,1258.95,1298,large_mismatch
49127,3806639000015057231,0,1899.05,1899.05,1993.99,1899.05,large_mismatch
49126,3806639000015045257,0,1059.32,1059.32,1112.29,1059.32,large_mismatch
49125,3806639000015082100,0,1298,1298,1258.95,1298,large_mismatch
49124,3806639000015043232,0,2278.1,2278.1,2392.01,2278.1,large_mismatch
49123,3806639000015081181,0,1398,1398,1363.95,1398,large_mismatch
49122,3806639000015070138,0,1298,1298,1258.95,1298,large_mismatch
49121,3806639000015075237,0,1899.05,1899.05,1993.99,1899.05,large_mismatch
49120,3806639000015043216,0,2702.07,2702.07,2733.22,2702.07,large_mismatch
49119,3806639000015051251,0,1298,1298,1258.95,1298,large_mismatch
49118,3806639000015074227,0,61.7,61.7,64.79,61.7,small_mismatch
49117,3806639000015045249,0,1398,1398,1363.95,1398,large_mismatch
49116,3806639000015078208,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
